	S0	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17
F1174	85710.0875417782	79773.2662142903	87388.0249797603	94091.4140814591	87400.2981031516	96119.8214490654	142489.394372124	190368.147640054	206861.436841404	120117.474990462	90717.3919410106	152973.837957977	90162.4588994107	120120.741075595	50265.0213271248	129986.527472169	123223.094802199	139264.630988261
F1175	48473.839023802	119454.574915279	103744.926265735	104644.739230491	58287.0292513387	189183.250048376	56583.9378982841	147885.900747582	193626.388801258	76189.277795758	78131.968719255	283120.357468083	145859.414788925	206798.984518708	122860.873473753	64263.4446986889	69812.8806374111	64180.83439572
F1176	157083.683903482	282222.452784472	141133.790336773	156141.92412992	228757.834422872	183125.660764943	263530.428916745	242936.769057092	131423.476544221	239404.761756506	260555.869163182	160784.858299247	215674.093317955	213926.227575171	147985.503913562	156887.697609369	207655.662576503	263306.545582507
F1177	181842.099678862	103169.207917417	142267.093478584	272382.08940872	150583.732932783	269998.372664842	75481.9928254678		203023.917873064	83685.7352778798	101304.165506376	119829.031863408	51041.4541159757	108377.264543198	81216.6155355883	233222.820061677		281955.989856765
F1178	48617.4486042026	117730.885702496	41302.8392528324	81043.9243479619	53734.5733601517	188033.762531597	42025.2926908091	187075.720067033	125320.944145567	80880.5019060418	21749.736391272	144028.588415651	71342.8104658404	131607.963159258	47025.292832137	51481.633989757	49585.9341834798	72685.6142001759
F1179	228444.08010664	221586.218941953	172250.148908371	212182.319464281	184906.497869738	263462.076482643	197448.793590845	154207.831600227	210067.022908856	281594.805832243		191478.632619334	232748.630909334	114733.968995736	164849.622362237	274748.852212203	229725.799383333	188425.286900387
F1180	123971.010004686	203024.062426326	111932.245939736	116806.866096046	26903.5019083118	207021.577058397	222294.719577209	281097.371121725	245438.237035744	192983.177395453	191393.05129499	116657.648504106	186053.291289891	204066.248379771	59843.1121336447	131095.270020951	109845.186906256	138610.280311973
F1181	34528.9613797388	66268.1729953362	81262.225221764	90250.4812585282	106733.607169997	138028.239564925		124396.416513645	65741.0520151249	43507.387800248	20551.328469127	281007.579775941	69504.6473345397	114881.016950331	110376.629863683	86334.4731270098	72961.4501101765	56587.1166165288
F1182	215653.501442492	217472.399329442	212994.020915839	50432.7481715521	180147.701207006	200497.851949934	116742.097591968	210840.523130069		219064.906378504	204205.218751723	280469.769073603	233536.087407878	269982.632210942	240723.186548488	103196.845107926	100046.80005949	184942.298576343
F1183	201072.938730799	250831.332217854	207166.075586596	217721.68695361	271389.196259756	264813.685268829	223592.187866735	275223.539896442	280463.208371375	216163.074870664	178999.14331248	237953.499868217	257193.857411055	230313.315905745	190172.12247412	240886.560090933	202184.894054983	234188.970430584
F1184	183497.219968944	49923.908310225	166312.627061076	63642.4135701046	135200.757966448	58848.0219071599	86904.3552420778	107601.003161718	205120.285184806	98822.4377790207	148910.840598223	95801.6449233365	129567.544316872	249278.510866404	280034.62641248	68182.9602292491	68626.5334811724	59812.2347783336
F1185	136202.894564623	279895.424831099	121900.037085745	111588.702591644	152518.881108482	198079.555935162	209478.220081097	99934.5562694211	220382.315955163	249104.652398265	106650.695794199	201105.840246657	265662.556662689	166918.511092593	154666.403817058	230153.426236959	174923.800954181	175062.408577396
F1186	55617.49272932	26137.2648638039	50168.6409817393	54975.9540375139	34441.481021933	56941.9612186236	30384.4694157005	164424.097406572	90689.6344718467	50442.7276695217	60359.6685216014	153100.626889578	159719.815261029	185411.049982685	279755.818689134	61642.3088513817	48728.420165405	56336.5937370903
F1187	140588.373038268	34061.2284926048	216088.12194235	92731.9047462731	241303.322516298	40229.7000032939	157761.592519911	80944.7358532535	90924.690273347	104884.323405362	67195.9830891723	77189.1548418188	24959.0755751868	279710.371828809	62198.6048218554	166981.256777759	143415.809211049	47014.2583917873
F1188	120696.882632632	79168.8649897786	117690.305473586	93610.0591073122	211670.234065658	88901.7660947937	22523.176504599	135114.451412679	143706.044687267		120679.212952844	241598.780826648	83369.2671084143	131236.498485804	132273.166227827	149844.812317336	101441.73057924	117607.631995674
F1189	79024.4611583863	112948.81582517	58683.0471900029	69277.6390208412	33177.3603317235	157576.593116318	88465.4210508991	279270.270046947	129879.679885913	232123.958679392	94239.9770677838	116815.855559918	87870.3604188695	234806.166750303	68007.674897531	53465.8087076003	50290.5316746561	90735.7238976932
F1190	36974.9364128227	111256.665586627	93300.8649910709	112712.537844169	100553.888819867	153640.880734653	103659.537279743	242747.338199202	169081.560291716	178884.834575475	90545.5746715459	279123.356505289	144463.855838088	176321.943624919	150753.979856704	54930.9915933416	62214.804009196	62376.2582383354
F1191	67288.0595089568	36191.9743385731	51981.0336353843	43100.2060472476	40815.8585637811	36461.4598733748	47037.4787031017	119378.660053343	149837.23108997	94457.9643766884	55363.4392967081	124613.384161612	239248.352126402	264541.213832685	278716.471777046	49369.6464792931	46906.4355724276	61557.3438247086
F1192	76825.8188498542	89800.5922853149	86040.0409983543	92761.9157222564	104958.250759052	197646.120777701	78758.6865172145	232085.51299664	140514.585015287	89600.3902182407	63223.3835507309	278177.038810613	156625.379779971	173220.413661064	134798.996437216	133019.358598923	82381.3316243164	127771.830952689
