(24R)-25-FLUORO-1ALPHA,24-DIHYDROXYVITAMIN D3	fluoro-dihydroxyvitamin D3
(24R,25S)-25,26-EPOXY-1ALPHA,24-DIHYDROXY-27-NORVITAMIN D3	epoxy-dihydroxy-norvitamin D3
(24RS)-28,28,28-TRIFLUORO-25-HYDROXYVITAMIN D2	trifluoro-hydroxyvitamin D2
(24S)-1ALPHA,24-DIHYDROXY-22-OXA-20-EPIVITAMIN D3	dihydroxy-oxa-epivitamin D3
(24S)-1ALPHA,24-DIHYDROXY-22-OXAVITAMIN D3	dihydroxy-oxavitamin D3
(24S)-24-FLUORO-1ALPHA,25-DIHYDROXYVITAMIN D2	fluoro-dihydroxyvitamin D2
(24S,25R)-25,26-EPOXY-1ALPHA,24-DIHYDROXY-27-NORVITAMIN D3	epoxy-dihydroxy-norvitamin D3
(25R)-26-OXOCHOLEST-4-EN-3-ONE	Oxocholest-en-one
(25R)-3BETA,4BETA-DIHYDROXYCHOLEST-5-EN-26-OATE(1-)	dihydroxycholest-en-oate(1-)
(25S)-24S,26-CYCLO-5ALPHA-CHOLESTAN-3BETA-OL	cyclo-cholestan-ol
(25S)-26-OXOCHOLEST-4-EN-3-ONE	Oxocholest-en-one
(25S)-3-OXO-12BETA-ACETOXY-CHOLEST-1,4-DIEN-26-OIC ACID	oxo-acetoxy-cholest-dien-oate
